itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data,item
Frédéric Bastiat,politikari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Bastiat.jpg,1801-06-30T00:00:00Z,http://www.wikidata.org/entity/Q13515
Frédéric Bastiat,ekonomialari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Bastiat.jpg,1801-06-30T00:00:00Z,http://www.wikidata.org/entity/Q13515
Frédéric Bastiat,magistratu,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Bastiat.jpg,1801-06-30T00:00:00Z,http://www.wikidata.org/entity/Q13515
Frédéric Bastiat,filosofo,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Bastiat.jpg,1801-06-30T00:00:00Z,http://www.wikidata.org/entity/Q13515
Frédéric Bastiat,saiakeragile,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Bastiat.jpg,1801-06-30T00:00:00Z,http://www.wikidata.org/entity/Q13515
Sylvain Luc,musikagile,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Sylvain%20Luc%20R.jpg,1965-04-07T00:00:00Z,http://www.wikidata.org/entity/Q119883
Sylvain Luc,gitarra-jotzaile,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Sylvain%20Luc%20R.jpg,1965-04-07T00:00:00Z,http://www.wikidata.org/entity/Q119883
Sylvain Luc,guitarrista de jazz,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Sylvain%20Luc%20R.jpg,1965-04-07T00:00:00Z,http://www.wikidata.org/entity/Q119883
Sylvain Luc,jazz musikari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Sylvain%20Luc%20R.jpg,1965-04-07T00:00:00Z,http://www.wikidata.org/entity/Q119883
Pierre Malet,aktore,gizonezkoa,Baiona,,1955-09-03T00:00:00Z,http://www.wikidata.org/entity/Q127373
Pierre Malet,telebista-aktore,gizonezkoa,Baiona,,1955-09-03T00:00:00Z,http://www.wikidata.org/entity/Q127373
Pierre Malet,zinema aktore,gizonezkoa,Baiona,,1955-09-03T00:00:00Z,http://www.wikidata.org/entity/Q127373
Léon Bonnat,margolari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Bonnat%20-%20Autoportrait.jpg,1833-06-20T00:00:00Z,http://www.wikidata.org/entity/Q170259
Léon Bonnat,arte bildumagilea,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Bonnat%20-%20Autoportrait.jpg,1833-06-20T00:00:00Z,http://www.wikidata.org/entity/Q170259
Adrien Barthe,musikagile,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Adrien%20Barthe%201875.jpg,1828-06-07T00:00:00Z,http://www.wikidata.org/entity/Q200458
René Cassin,politikari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Ren%C3%A9%20Cassin%20nobel.jpg,1887-10-05T00:00:00Z,http://www.wikidata.org/entity/Q232873
René Cassin,legelari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Ren%C3%A9%20Cassin%20nobel.jpg,1887-10-05T00:00:00Z,http://www.wikidata.org/entity/Q232873
René Cassin,diplomazialari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Ren%C3%A9%20Cassin%20nobel.jpg,1887-10-05T00:00:00Z,http://www.wikidata.org/entity/Q232873
Jean Bernard Jauregiberri,gudari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Admiral%20Jaureguiberry.jpg,1815-08-26T00:00:00Z,http://www.wikidata.org/entity/Q259435
Jean Bernard Jauregiberri,politikari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Admiral%20Jaureguiberry.jpg,1815-08-26T00:00:00Z,http://www.wikidata.org/entity/Q259435
Jean Bernard Jauregiberri,administrador colonial,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Admiral%20Jaureguiberry.jpg,1815-08-26T00:00:00Z,http://www.wikidata.org/entity/Q259435
Émile Temime,historialari,gizonezkoa,Baiona,,1926-10-02T00:00:00Z,http://www.wikidata.org/entity/Q286500
Mehdi Nebbou,aktore,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Mehdi%20Nebbou%20Cabourg%202013.jpg,1971-01-10T00:00:00Z,http://www.wikidata.org/entity/Q304707
