itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Dionisio Muñoz,pisu-jasotzaile,gizonezkoa,Iruñea,,1961-03-21T00:00:00Z
Domingo de Lussa,eskultore,gizonezkoa,Iruñea,,1529-01-01T00:00:00Z
Ekaitz Maiz,eskalatzailea,gizonezkoa,Iruñea,,1979-12-10T00:00:00Z
Elena Navaz,taekwondolari,emakumezkoa,Iruñea,,1960-09-21T00:00:00Z
Eradio Ezpeleta,politikari,gizonezkoa,Iruñea,,1968-05-15T00:00:00Z
Eugenio Arraiza,kultura-ekintzaile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Eugenio%20Arraiza.jpg,1936-08-14T00:00:00Z
Felipe Rius,idazle,gizonezkoa,Iruñea,,1961-07-11T00:00:00Z
Felipe Rius,kazetari,gizonezkoa,Iruñea,,1961-07-11T00:00:00Z
Fertxu Izquierdo,idazle,gizonezkoa,Iruñea,,1975-01-01T00:00:00Z
Florencio Sanz Baeza,politikari,gizonezkoa,Iruñea,,1800-01-01T00:00:00Z
Francisco Javier Aristu,beisbol jokalari,gizonezkoa,Iruñea,,1968-02-12T00:00:00Z
Garcia Lopez de Roncesvalles,finantzari,gizonezkoa,Iruñea,,1400-01-01T00:00:00Z
Garcia Lopez de Roncesvalles,kronikagile,gizonezkoa,Iruñea,,1400-01-01T00:00:00Z
Hedoi Etxarte,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Hedoi%20Etxarte.jpg,1986-04-28T00:00:00Z
Hedoi Etxarte,poeta,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Hedoi%20Etxarte.jpg,1986-04-28T00:00:00Z
Hedoi Etxarte,itzultzaile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Hedoi%20Etxarte.jpg,1986-04-28T00:00:00Z
Hedoi Etxarte,biolin-jotzaile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Hedoi%20Etxarte.jpg,1986-04-28T00:00:00Z
Helena Berruezo,politikari,emakumezkoa,Iruñea,,1956-05-12T00:00:00Z
Ignazio Aiestaran,idazle,gizonezkoa,Iruñea,,1970-01-01T00:00:00Z
Ignazio Otsoa Oltzako Sanz,poeta,gizonezkoa,Iruñea,,1940-03-29T00:00:00Z
Inma Errea,idazle,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Inma%20Errea%202014-09-11%20IPES%20Wikipedia.jpg,1960-11-15T00:00:00Z
Inma Errea,itzultzaile,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Inma%20Errea%202014-09-11%20IPES%20Wikipedia.jpg,1960-11-15T00:00:00Z
Iñaki Soto,kazetari,gizonezkoa,Iruñea,,1975-01-01T00:00:00Z
Iñaki Soto,filosofo,gizonezkoa,Iruñea,,1975-01-01T00:00:00Z
Iñaki Urrutia,dantzari,gizonezkoa,Iruñea,,1980-06-14T00:00:00Z
Iñigo Ibarra,idazle,gizonezkoa,Iruñea,,1974-01-01T00:00:00Z
Iñigo Ibarra,bertsolari,gizonezkoa,Iruñea,,1974-01-01T00:00:00Z
Iñigo Monreal,atleta,gizonezkoa,Iruñea,,1974-09-26T00:00:00Z
Javier Caballero Martínez,politikari,gizonezkoa,Iruñea,,1961-09-13T00:00:00Z
Javier Garaialde,musikari,gizonezkoa,Iruñea,,1946-01-01T00:00:00Z
Javier Marcotegui,politikari,gizonezkoa,Iruñea,,1948-09-21T00:00:00Z
Javier Ziaurriz,futbolari,gizonezkoa,Iruñea,,1946-03-05T00:00:00Z
Jesús María Pajares,politikari,gizonezkoa,Iruñea,,1946-01-14T00:00:00Z
Jesús María Pajares,ekonomialari,gizonezkoa,Iruñea,,1946-01-14T00:00:00Z
Joakin Balentzia,idazle,gizonezkoa,Iruñea,,1947-01-01T00:00:00Z
Joakin Resano,komikigile,gizonezkoa,Iruñea,,1948-02-07T00:00:00Z
Joakin Resano,margolari,gizonezkoa,Iruñea,,1948-02-07T00:00:00Z
Jon Alonso,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Alonso%20idazlea.jpg,1958-11-18T00:00:00Z
Jon Alonso,itzultzaile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Alonso%20idazlea.jpg,1958-11-18T00:00:00Z
Jose Angel Irigaray,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Angel%20Irigarai%202010ean.jpg,1942-10-09T00:00:00Z
Jose Angel Irigaray,mediku,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Angel%20Irigarai%202010ean.jpg,1942-10-09T00:00:00Z
Jose Angel Irigaray,poeta,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Angel%20Irigarai%202010ean.jpg,1942-10-09T00:00:00Z
Jose Angel Irigaray,eleberrigile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Angel%20Irigarai%202010ean.jpg,1942-10-09T00:00:00Z
Jose Angel Irigaray,saiakeragile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Angel%20Irigarai%202010ean.jpg,1942-10-09T00:00:00Z
Jose Antonio Uharte,biolin-jotzaile,gizonezkoa,Iruñea,,1892-09-11T00:00:00Z
Jose Erbiti,musika-irakasle,gizonezkoa,Iruñea,,1852-08-04T00:00:00Z
Jose Luis Areta,futbolari,gizonezkoa,Iruñea,,1933-06-13T00:00:00Z
