itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data,item
Jean Michel Larrasket,ingeniari,gizonezkoa,Paris,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Mixel%20Larrasket.jpg,1950-05-22T00:00:00Z,http://www.wikidata.org/entity/Q50805002
Jean Michel Larrasket,unibertsitateko irakasle,gizonezkoa,Paris,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Mixel%20Larrasket.jpg,1950-05-22T00:00:00Z,http://www.wikidata.org/entity/Q50805002
Jean Michel Larrasket,ingeniari,gizonezkoa,Paris,http://commons.wikimedia.org/wiki/Special:FilePath/JM%20Larrasket%20Berria%20Gaizka%20Iroz%202018.jpg,1950-05-22T00:00:00Z,http://www.wikidata.org/entity/Q50805002
Jean Michel Larrasket,unibertsitateko irakasle,gizonezkoa,Paris,http://commons.wikimedia.org/wiki/Special:FilePath/JM%20Larrasket%20Berria%20Gaizka%20Iroz%202018.jpg,1950-05-22T00:00:00Z,http://www.wikidata.org/entity/Q50805002
Itxaro Borda,idazle,emakumezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Itxaro%20Borda%20%28EKE%20Pantxika%20Maitia%29.jpg,1959-03-29T00:00:00Z,http://www.wikidata.org/entity/Q3156009
Itxaro Borda,postari,emakumezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Itxaro%20Borda%20%28EKE%20Pantxika%20Maitia%29.jpg,1959-03-29T00:00:00Z,http://www.wikidata.org/entity/Q3156009
Jeanne Monteil,idazle,emakumezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Jeanne%20Monteil.jpg,1924-09-12T00:00:00Z,http://www.wikidata.org/entity/Q3176129
Jeanne Monteil,poeta,emakumezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Jeanne%20Monteil.jpg,1924-09-12T00:00:00Z,http://www.wikidata.org/entity/Q3176129
Pierre Lhande,idazle,gizonezkoa,Baiona,,1877-07-09T00:00:00Z,http://www.wikidata.org/entity/Q3385966
Pierre Lhande,apaiz,gizonezkoa,Baiona,,1877-07-09T00:00:00Z,http://www.wikidata.org/entity/Q3385966
Pierre Lhande,hizkuntzalari,gizonezkoa,Baiona,,1877-07-09T00:00:00Z,http://www.wikidata.org/entity/Q3385966
Eneko Bidegain,idazle,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Eneko%20Bidegain.jpg,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q12256840
Eneko Bidegain,irakasle,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Eneko%20Bidegain.jpg,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q12256840
Eneko Bidegain,kazetari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Eneko%20Bidegain.jpg,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q12256840
Joan Batista Azkonagerre,idazle,gizonezkoa,Baiona,,1815-06-07T00:00:00Z,http://www.wikidata.org/entity/Q12260411
Joan Batista Azkonagerre,politikari,gizonezkoa,Baiona,,1815-06-07T00:00:00Z,http://www.wikidata.org/entity/Q12260411
Joan Batista Azkonagerre,notario,gizonezkoa,Baiona,,1815-06-07T00:00:00Z,http://www.wikidata.org/entity/Q12260411
Imanol Harinordoki,hamabosteko errugbilari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/BO-MHRC%20hari.jpg,1980-02-20T00:00:00Z,http://www.wikidata.org/entity/Q389714
Xarles Bidegain,unibertsitateko irakasle,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Xarles%20Videgain%202013.jpg,1947-06-30T00:00:00Z,http://www.wikidata.org/entity/Q2960394
Xarles Bidegain,hizkuntzalari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Xarles%20Videgain%202013.jpg,1947-06-30T00:00:00Z,http://www.wikidata.org/entity/Q2960394
Eric Dicharry,idazle,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/ERICDICHARRYBELTZA.jpg,1969-07-07T00:00:00Z,http://www.wikidata.org/entity/Q19947858
Eric Dicharry,poeta,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/ERICDICHARRYBELTZA.jpg,1969-07-07T00:00:00Z,http://www.wikidata.org/entity/Q19947858
Eric Dicharry,antropologo,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/ERICDICHARRYBELTZA.jpg,1969-07-07T00:00:00Z,http://www.wikidata.org/entity/Q19947858
Jurgi Ekiza,abeslari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Berri%20Txarrak%20Lagunartean%20-%20Kobetamendi%20-%202019-07-14%20-%2033.jpg,1980-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30149732
Jurgi Ekiza,gitarra-jotzaile,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Berri%20Txarrak%20Lagunartean%20-%20Kobetamendi%20-%202019-07-14%20-%2033.jpg,1980-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30149732
Mixel Ducau,abeslari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Mixel%20Ducau.jpg,1951-11-09T00:00:00Z,http://www.wikidata.org/entity/Q37110901
Mixel Ducau,musikari,gizonezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Mixel%20Ducau.jpg,1951-11-09T00:00:00Z,http://www.wikidata.org/entity/Q37110901
Maddi Sarasua Laskarai,bertsolari,emakumezkoa,Baiona,http://commons.wikimedia.org/wiki/Special:FilePath/Maddi%20Sarasua.jpg,1995-11-22T00:00:00Z,http://www.wikidata.org/entity/Q50348980
Maialen Hegi-Luku,idazle,emakumezkoa,Baiona,,1987-04-22T00:00:00Z,http://www.wikidata.org/entity/Q51024416
