itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Manu Robles-Arangiz,sindikalista,gizonezkoa,Bilbo,,1884-08-25T00:00:00Z
Ernesto Erkoreka,politikari,gizonezkoa,Bilbo,,1866-11-09T00:00:00Z
Iñaki Arteta,argazkilari,gizonezkoa,Bilbo,,1959-08-01T00:00:00Z
Iñaki Arteta,zinema zuzendari,gizonezkoa,Bilbo,,1959-08-01T00:00:00Z
Jose Luis Robles,politikari,gizonezkoa,Bilbo,,1927-05-20T00:00:00Z
Santiago Aznar,politikari,gizonezkoa,Bilbo,,1903-08-09T00:00:00Z
Santiago Aznar,esperantista,gizonezkoa,Bilbo,,1903-08-09T00:00:00Z
Santiago Aznar,sindikalista,gizonezkoa,Bilbo,,1903-08-09T00:00:00Z
Alfredo Espinosa,politikari,gizonezkoa,Bilbo,,1903-01-01T00:00:00Z
Mario Fernández,abokatu,gizonezkoa,Bilbo,,1943-11-04T00:00:00Z
Mario Fernández,politikari,gizonezkoa,Bilbo,,1943-11-04T00:00:00Z
Mario Fernández,ekonomialari,gizonezkoa,Bilbo,,1943-11-04T00:00:00Z
Mario Fernández,bankari,gizonezkoa,Bilbo,,1943-11-04T00:00:00Z
Rufino Laiseka,politikari,gizonezkoa,Bilbo,,1872-12-22T00:00:00Z
Borja Fernández,inline skater,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Borja%20Fernandez1.jpg,1984-11-11T00:00:00Z
Iñaki Antón,musikagile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Uoho%20Madrid%2008.jpg,1964-08-03T00:00:00Z
Iñaki Antón,gitarra-jotzaile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Uoho%20Madrid%2008.jpg,1964-08-03T00:00:00Z
Yolanda González,Ikaslea,emakumezkoa,Bilbo,,1961-01-20T00:00:00Z
Yolanda González,líder estudiantil,emakumezkoa,Bilbo,,1961-01-20T00:00:00Z
Diego María Gardoki,diplomazialari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20de%20Gardoqui.jpg,1735-11-12T00:00:00Z
Eloy Velasco,epaile,gizonezkoa,Bilbo,,1963-01-02T00:00:00Z
Eloy Velasco,legelari,gizonezkoa,Bilbo,,1963-01-02T00:00:00Z
Elias Amezaga,idazle,gizonezkoa,Bilbo,,1921-08-09T00:00:00Z
Erdoitza Goikoetxea,hockey jokalari,emakumezkoa,Bilbo,,1975-01-24T00:00:00Z
José Entrecanales Ibarra,enpresaburu,gizonezkoa,Bilbo,,1899-12-16T00:00:00Z
Pedro Ugarte,idazle,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20Ugarte.jpg,1963-01-15T00:00:00Z
Juan José Santamaría,futbolari,gizonezkoa,Bilbo,,1947-05-22T00:00:00Z
Estibaliz Urrutia,atleta,emakumezkoa,Bilbo,,1970-02-22T00:00:00Z
Víctor Zubizarreta,musikagile,gizonezkoa,Bilbo,,1899-01-01T00:00:00Z
Víctor Zubizarreta,organista,gizonezkoa,Bilbo,,1899-01-01T00:00:00Z
Víctor Zubizarreta,pedagogo,gizonezkoa,Bilbo,,1899-01-01T00:00:00Z
Idoia Mendia,politikari,emakumezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Idoia%20Mendia%20politikari%20sozialista%202009an.jpg,1965-10-01T00:00:00Z
Ignacio Lacasta,enpresaburu,gizonezkoa,Bilbo,,1901-01-01T00:00:00Z
Ignacio Lacasta,ekonomialari,gizonezkoa,Bilbo,,1901-01-01T00:00:00Z
José Urcullu,idazle,gizonezkoa,Bilbo,,1790-01-01T00:00:00Z
José Joaquín Martínez Sieso,abokatu,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Joaqu%C3%ADn%20Mart%C3%ADnez%20Sieso.jpg,1956-04-13T00:00:00Z
José Joaquín Martínez Sieso,politikari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Joaqu%C3%ADn%20Mart%C3%ADnez%20Sieso.jpg,1956-04-13T00:00:00Z
Carlos París,idazle,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Par%C3%ADs%202012%20%28cropped%29.jpg,1925-07-17T00:00:00Z
Carlos París,filosofo,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Par%C3%ADs%202012%20%28cropped%29.jpg,1925-07-17T00:00:00Z
José Tartiere,enpresaburu,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Monumento%20a%20Jos%C3%A9%20Tartiere.%20Oviedo.jpg,1848-11-21T00:00:00Z
