itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Domingo Patrizio Meagher,unibertsitateko irakasle,gizonezkoa,Donostia,,1703-03-17T00:00:00Z
Elena Urkizu,hockey jokalari,emakumezkoa,Donostia,,1975-01-29T00:00:00Z
Elixabete Sarasola,futbolari,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Elixabete%20Sarasola%20%286088517987%29%20%28cropped%29.jpg,1991-04-12T00:00:00Z
Enrique Sarasola,enpresaburu,gizonezkoa,Donostia,,1937-08-24T00:00:00Z
Iker Fernández,snowboarder,gizonezkoa,Donostia,,1977-09-09T00:00:00Z
Fausto García Pérez,gudari,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Capit%C3%A1n%20de%20Intanteria%20Fausto%20Garc%C3%ADa%20P%C3%A9rez.jpg,1884-06-21T00:00:00Z
Juan Astigarribia,politikari,gizonezkoa,Donostia,,1901-11-20T00:00:00Z
Fernando Aranburu,irakasle,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg,1959-01-01T00:00:00Z
Fernando Aranburu,poeta,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg,1959-01-01T00:00:00Z
Fernando Aranburu,itzultzaile,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg,1959-01-01T00:00:00Z
Fernando Aranburu,aforista,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg,1959-01-01T00:00:00Z
Fernando Aranburu,haur literatura idazle,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg,1959-01-01T00:00:00Z
Fernando Aranburu,eleberrigile,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg,1959-01-01T00:00:00Z
Fernando Aranburu,saiakeragile,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg,1959-01-01T00:00:00Z
Fernando Aranburu,ipuingile,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg,1959-01-01T00:00:00Z
Felix Mendizabal,atleta,gizonezkoa,Donostia,,1891-03-07T00:00:00Z
Blaki,aktore,gizonezkoa,Donostia,,1934-01-01T00:00:00Z
Anton Uriarte,idazle,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Uriarte.JPG,1949-12-31T00:00:00Z
Anton Uriarte,geografo,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Uriarte.JPG,1949-12-31T00:00:00Z
Anton Uriarte,klimatologo,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Uriarte.JPG,1949-12-31T00:00:00Z
Anton Uriarte,unibertsitateko irakasle,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Uriarte.JPG,1949-12-31T00:00:00Z
