itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Josu Hernáez,futbolari,gizonezkoa,Eibar,,1985-07-04T00:00:00Z
Esperanza Zabala,margolari,emakumezkoa,Eibar,,1974-01-01T00:00:00Z
Adolfo Sarasketa,futbolari,gizonezkoa,Eibar,,1931-11-11T00:00:00Z
Jon Larreategi,futbolari,gizonezkoa,Eibar,,1984-08-16T00:00:00Z
Francisco Iriondo Orozco,futbolari,gizonezkoa,Eibar,,1911-10-04T00:00:00Z
Javier Gorosabel,astrofisikari,gizonezkoa,Eibar,,1969-10-27T00:00:00Z
Jon Gaizka Apraiz,futbolari,gizonezkoa,Eibar,,1987-06-24T00:00:00Z
Aitor Seguin,futbolari,gizonezkoa,Eibar,,1995-02-27T00:00:00Z
Iker Seguín,futbolari,gizonezkoa,Eibar,,1989-07-12T00:00:00Z
Jose Zugasti,ilustratzaile,gizonezkoa,Eibar,,1952-06-05T00:00:00Z
Jose Zugasti,eskultore,gizonezkoa,Eibar,,1952-06-05T00:00:00Z
María Jesús Arrate Varela Vázquez,politikari,emakumezkoa,Eibar,,1952-01-01T00:00:00Z
Domingo Arrillaga,futbolari,gizonezkoa,Eibar,,1890-02-11T00:00:00Z
Ylenia Baglietto,aktore,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Ylenia%20Baglietto.jpg,1986-12-18T00:00:00Z
Ylenia Baglietto,telebista-aktore,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Ylenia%20Baglietto.jpg,1986-12-18T00:00:00Z
Mikel Oyarzabal,futbolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Oyarzabal.jpg,1997-04-21T00:00:00Z
Roberto Cano Aja,,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/RCApelotari.jpg,1956-07-18T00:00:00Z
Mireya Etxaluze,astrofisikari,emakumezkoa,Eibar,,1977-01-19T00:00:00Z
Santiago Arizmendiarrieta,esperantista,gizonezkoa,Eibar,,1903-01-01T00:00:00Z
Xosé Manuel Buxán Bran,artista,gizonezkoa,Eibar,,1964-01-01T00:00:00Z
Luis Carlos de la Peña,politikari,gizonezkoa,Eibar,,1958-01-01T00:00:00Z
Maria Unzueta,pilotari,emakumezkoa,Eibar,,1878-09-13T00:00:00Z
Andrés de Ubilla,fraile dominico,gizonezkoa,Eibar,,1540-01-01T00:00:00Z
Julen Bollain,politikari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/JulenBollain.jpg,1990-03-28T00:00:00Z
Julen Bollain,ekonomialari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/JulenBollain.jpg,1990-03-28T00:00:00Z
Idoia Sagastizabal Unzetabarrenetxea,politikari,emakumezkoa,Eibar,,1972-09-22T00:00:00Z
Alex Aranzábal Mínguez,,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Alex%20Aranz%C3%A1bal.jpg,1901-01-01T00:00:00Z
Amaia Gorostiza,enpresaburu,emakumezkoa,Eibar,,1961-01-01T00:00:00Z
Mursego,musikagile,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Bidehuts-%2010%20urte%20%2827401142489%29.jpg,1977-01-01T00:00:00Z
Mursego,abeslari,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Bidehuts-%2010%20urte%20%2827401142489%29.jpg,1977-01-01T00:00:00Z
Mursego,biolontxelista,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Bidehuts-%2010%20urte%20%2827401142489%29.jpg,1977-01-01T00:00:00Z
Juan Antonio Gisasola,,gizonezkoa,Eibar,,1962-01-01T00:00:00Z
Eneko Andueza,politikari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/%28Eneko%20Andueza%29%20Pedro%20S%C3%A1nchez%20asiste%20a%20un%20homenaje%20a%20Clara%20Campoamor.jpg,1979-06-11T00:00:00Z
Miren Narbaiza,musikagile,emakumezkoa,Eibar,,1986-05-03T00:00:00Z
Miren Narbaiza,abeslari,emakumezkoa,Eibar,,1986-05-03T00:00:00Z
Yeray Lamariano,eskubaloi jokalari,gizonezkoa,Eibar,,1983-03-11T00:00:00Z
Enrike Gesalaga,,gizonezkoa,Eibar,,1941-09-04T00:00:00Z
Mikel Gorosabel,musikagile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/EHSukarra.jpg,1967-01-01T00:00:00Z
Mikel Gorosabel,abeslari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/EHSukarra.jpg,1967-01-01T00:00:00Z
Danel Zenarrutzabeitia,enpresaburu,gizonezkoa,Eibar,,1927-01-03T00:00:00Z
Danel Zenarrutzabeitia,politikari,gizonezkoa,Eibar,,1927-01-03T00:00:00Z
Iñaki Laskurain,hamabosteko errugbilari,gizonezkoa,Eibar,,1968-08-05T00:00:00Z
Odile Kruzeta,kazetari,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Odile%20Kruzeta.jpg,1957-11-06T00:00:00Z
Elena Laka Muñoz,abokatu,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Elena%20Laka.jpeg,1966-01-01T00:00:00Z
Markos Untzeta,musikari,gizonezkoa,Eibar,,1970-01-01T00:00:00Z
Odei Jainaga,xabalinari,gizonezkoa,Eibar,,1997-10-14T00:00:00Z
Carmen Sánchez Pérez,politikari,emakumezkoa,Eibar,,1958-02-14T00:00:00Z
Nerea del Campo Aguirre,,emakumezkoa,Eibar,,1971-06-17T00:00:00Z
Leire Narbaiza Arizmendi,katedradun,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Leire%20Narbaiza%20%28cropped%29.jpg,1968-04-05T00:00:00Z
Leire Narbaiza Arizmendi,blogari,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Leire%20Narbaiza%20%28cropped%29.jpg,1968-04-05T00:00:00Z
Leire Narbaiza Arizmendi,iritzi-kazetari,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Leire%20Narbaiza%20%28cropped%29.jpg,1968-04-05T00:00:00Z
Jose Felix Azkarate,katedradun,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Felix%20Azkarate%2C%20Xarra.jpg,1957-01-01T00:00:00Z
Jose Felix Azkarate,argitaratzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Felix%20Azkarate%2C%20Xarra.jpg,1957-01-01T00:00:00Z
Oier Gorosabel Larrañaga,fisioterapeuta,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Oier%20Gorosabel%20Txikillana%20%28cropped%29.jpg,1972-01-01T00:00:00Z
Oier Gorosabel Larrañaga,blogari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Oier%20Gorosabel%20Txikillana%20%28cropped%29.jpg,1972-01-01T00:00:00Z
Oier Gorosabel Larrañaga,iritzi-kazetari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Oier%20Gorosabel%20Txikillana%20%28cropped%29.jpg,1972-01-01T00:00:00Z
Oier Gorosabel Larrañaga,espeleologo,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Oier%20Gorosabel%20Txikillana%20%28cropped%29.jpg,1972-01-01T00:00:00Z
Pedro Careaga Garagarza,armagile,gizonezkoa,Eibar,,1884-01-01T00:00:00Z
Maritxu Lasuen,pilotari,emakumezkoa,Eibar,,1919-01-01T00:00:00Z
Eugenia Iriondo,pilotari,emakumezkoa,Eibar,,1901-04-03T00:00:00Z
Paula Lamarain,pilotari,emakumezkoa,Eibar,,1924-12-01T00:00:00Z
Angelita Alberdi,pilotari,emakumezkoa,Eibar,,1925-04-26T00:00:00Z
Maria Luisa Alberdi,pilotari,emakumezkoa,Eibar,,1922-09-12T00:00:00Z
Mari Carmen Lasagabaster,pilotari,emakumezkoa,Eibar,,1925-09-01T00:00:00Z
Naiara Lete,futbolari,emakumezkoa,Eibar,,1995-09-01T00:00:00Z
Juanita Unzueta,ballet dantzari,emakumezkoa,Eibar,,1924-06-16T00:00:00Z
Juanita Unzueta,dantza irakasle,emakumezkoa,Eibar,,1924-06-16T00:00:00Z
Julen López Salas,futbolari,gizonezkoa,Eibar,,1995-07-20T00:00:00Z
Rosario Aranburu,pilotari,emakumezkoa,Eibar,,1921-10-02T00:00:00Z
Fernango Goenaga Iribarren,musikagile,gizonezkoa,Eibar,,1907-08-16T00:00:00Z
Fernango Goenaga Iribarren,abeslari,gizonezkoa,Eibar,,1907-08-16T00:00:00Z
Isaias Albistegi Agirre,hegazkinlari,gizonezkoa,Eibar,,1924-01-01T00:00:00Z
Antonio Lekunberri Goikoetxea,hegazkinlari,gizonezkoa,Eibar,,1925-05-21T00:00:00Z
Antonio Lekunberri Goikoetxea,soldadu,gizonezkoa,Eibar,,1925-05-21T00:00:00Z
Ane Sarasua,ekonomialari,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Sarasua%20UEU2009%20GorkaPalazio.jpg,1971-04-12T00:00:00Z
Ane Sarasua,koordinatzaile,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Sarasua%20UEU2009%20GorkaPalazio.jpg,1971-04-12T00:00:00Z
Antonio Paguaga Paguaga,politikari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Diferentes%20autoridades%20en%20el%20campo%20de%20f%C3%BAtbol%20de%20Atotxa.%20Entre%20ellos%20se%20ecuentra%20el%20alcalde%20Antonio%20Paguaga%20%281%20de%203%29%20-%20Fondo%20Mar%C3%ADn-Kutxa%20Fototeka%20%28cropped%29.jpg,1888-02-12T00:00:00Z
Jose Maria Echeverria Yraolagoitia,politikari,,Eibar,,1924-04-07T00:00:00Z
Miguel de los Toyos Nazabal,politikari,gizonezkoa,,,
Mari Karmen Menika,koordinatzaile,emakumezkoa,,http://commons.wikimedia.org/wiki/Special:FilePath/MKMenika%20Argia2013DaniBlanco3.png,1961-01-01T00:00:00Z
Ana Oregi,,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20Oregi.jpg,1965-01-01T00:00:00Z
Ander Romarate,igerilari,gizonezkoa,Eibar,,1994-06-14T00:00:00Z
Antonio Iturrioz,idazle,gizonezkoa,Eibar,,1900-03-12T00:00:00Z
Asier Laspiur,eskultore,gizonezkoa,Eibar,,1960-01-01T00:00:00Z
Asier Serrano,idazle,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Serrano%20%28Josu%20Margusino%29.jpg,1975-05-20T00:00:00Z
Bixente Martinez,abeslari,gizonezkoa,Eibar,,1954-01-01T00:00:00Z
Bixente Martinez,musikari,gizonezkoa,Eibar,,1954-01-01T00:00:00Z
Bonifazio Etxeberria,armagile,gizonezkoa,Eibar,,1859-06-05T00:00:00Z
Edu Zabala,idazle,gizonezkoa,Eibar,,1958-01-01T00:00:00Z
Ernesto Tellería,zinema zuzendari,gizonezkoa,Eibar,,1956-03-06T00:00:00Z
Fernando Muniozguren,,gizonezkoa,Eibar,,1950-12-07T00:00:00Z
Fran Lasuen,biolin-jotzaile,gizonezkoa,Eibar,,1959-04-27T00:00:00Z
Horazio Argarate,apaiz,gizonezkoa,Eibar,,1966-06-09T00:00:00Z
Ion Fiz,moda-diseinatzaile,gizonezkoa,Eibar,,1976-01-01T00:00:00Z
Iñaki Larrañaga Iglesias,margolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/I%C3%B1aki%20Larra%C3%B1aga%20artista%202006an.jpg,1931-01-01T00:00:00Z
Iñaki Larrañaga Iglesias,eskultore,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/I%C3%B1aki%20Larra%C3%B1aga%20artista%202006an.jpg,1931-01-01T00:00:00Z
Jon Beistegi,idazle,gizonezkoa,Eibar,,1911-10-21T00:00:00Z
Jon Errasti,futbolari,gizonezkoa,Eibar,,1988-06-06T00:00:00Z
Joxean Sagastizabal,idazle,gizonezkoa,Eibar,,1956-09-05T00:00:00Z
Juan Bautista Gisasola,musikagile,gizonezkoa,Eibar,,1885-10-25T00:00:00Z
Luistxo Fernandez,idazle,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Luistxo%20Fernandez.jpg,1966-12-08T00:00:00Z
Luistxo Fernandez,kazetari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Luistxo%20Fernandez.jpg,1966-12-08T00:00:00Z
Luistxo Fernandez,blogari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Luistxo%20Fernandez.jpg,1966-12-08T00:00:00Z
Martzelino Baskaran,politikari,gizonezkoa,Eibar,,1871-01-01T00:00:00Z
Martzelino Baskaran,sindikalista,gizonezkoa,Eibar,,1871-01-01T00:00:00Z
Mitxel Sarasketa,itzultzaile,gizonezkoa,Eibar,,1954-10-26T00:00:00Z
Nuria Lopez de Guereñu,politikari,emakumezkoa,Eibar,,1969-09-27T00:00:00Z
Patxi Beitia,,gizonezkoa,Eibar,,1925-01-01T00:00:00Z
Pedro Alberdi,idazle,gizonezkoa,Eibar,,1957-01-01T00:00:00Z
Serafin Basauri,industria-peritu,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Serafin-basauri.jpg,1935-04-29T00:00:00Z
Serafin Basauri,aktibista,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Serafin-basauri.jpg,1935-04-29T00:00:00Z
Joaquín Gorrochategui,hizkuntzalari,gizonezkoa,Eibar,,1953-08-17T00:00:00Z
Asier Sarasua Aranberri,biologo,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Sarasua%20Aranberri%2C%202005.jpg,1969-01-01T00:00:00Z
Asier Sarasua Aranberri,blogari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Sarasua%20Aranberri%2C%202005.jpg,1969-01-01T00:00:00Z
Asier Sarasua Aranberri,filologo,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Sarasua%20Aranberri%2C%202005.jpg,1969-01-01T00:00:00Z
Markel Alberdi,igerilari,gizonezkoa,Eibar,,1991-10-22T00:00:00Z
José Antonio Urtiaga,futbolari,gizonezkoa,Eibar,,1942-10-17T00:00:00Z
Jon Arrieta,legelari,gizonezkoa,Eibar,,1951-01-01T00:00:00Z
Jon Arrieta,historialari,gizonezkoa,Eibar,,1951-01-01T00:00:00Z
Jon Arrieta,unibertsitateko irakasle,gizonezkoa,Eibar,,1951-01-01T00:00:00Z
Lander Hortelano,futbolari,gizonezkoa,Eibar,,1995-05-13T00:00:00Z
Xabier Gorritxategi Agote,,gizonezkoa,Eibar,,1954-01-31T00:00:00Z
Markel Susaeta,futbolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Markel%20susaeta.jpg,1987-12-14T00:00:00Z
Roberto Pérez Jauregi,,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Roberto-Perez-jauregi.jpg,1949-01-01T00:00:00Z
Maite Zuñiga,polizia,emakumezkoa,Eibar,,1964-12-28T00:00:00Z
Maite Zuñiga,atleta,emakumezkoa,Eibar,,1964-12-28T00:00:00Z
Ignacio Zuloaga,margolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/%E2%80%9CAutorretratua%E2%80%9D%2C%20Zuloaga.jpg,1870-07-26T00:00:00Z
Roberto Etxebarria,futbol entrenatzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Athletic%201931%20%28Etxebarria%29.jpg,1908-05-06T00:00:00Z
Roberto Etxebarria,futbolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Athletic%201931%20%28Etxebarria%29.jpg,1908-05-06T00:00:00Z
Pedro Horrillo,txirrindulari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20Horrillo%20-%20Vuelta%202008.JPG,1974-09-27T00:00:00Z
Alberto Ormaetxea,futbol entrenatzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Sebasti%C3%A1n%20-%20Estadio%20de%20Anoeta%202%20%28Ormaetxea%29.jpg,1939-04-07T00:00:00Z
Alberto Ormaetxea,futbolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Sebasti%C3%A1n%20-%20Estadio%20de%20Anoeta%202%20%28Ormaetxea%29.jpg,1939-04-07T00:00:00Z
