itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data,item
Uxue Barkos,politikari,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A1nchez%20recibe%20a%20la%20presidenta%20de%20Navarra%203%20%28cropped%29.jpg,1964-07-05T00:00:00Z,http://www.wikidata.org/entity/Q961601
Uxue Barkos,kazetari,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A1nchez%20recibe%20a%20la%20presidenta%20de%20Navarra%203%20%28cropped%29.jpg,1964-07-05T00:00:00Z,http://www.wikidata.org/entity/Q961601
Arturo Kanpion,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z,http://www.wikidata.org/entity/Q2865943
Arturo Kanpion,abokatu,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z,http://www.wikidata.org/entity/Q2865943
Arturo Kanpion,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z,http://www.wikidata.org/entity/Q2865943
Arturo Kanpion,hizkuntzalari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z,http://www.wikidata.org/entity/Q2865943
Sagrario Aleman,politikari,emakumezkoa,Imotz,http://commons.wikimedia.org/wiki/Special:FilePath/Sagrario%20Aleman%20%28Josu%20Santesteban%2C%202011%29.jpg,1952-03-05T00:00:00Z,http://www.wikidata.org/entity/Q3461445
Sagrario Aleman,katedradun,emakumezkoa,Imotz,http://commons.wikimedia.org/wiki/Special:FilePath/Sagrario%20Aleman%20%28Josu%20Santesteban%2C%202011%29.jpg,1952-03-05T00:00:00Z,http://www.wikidata.org/entity/Q3461445
Gregorio Monreal,idazle,gizonezkoa,Etaiu,http://commons.wikimedia.org/wiki/Special:FilePath/Entrega%20del%20Premio%20Euskadi%20de%20Investigaci%C3%B3n%202013%20al%20historiador%20y%20jurista%20Gregorio%20Monreal%2004%20%28cropped%29.jpg,1942-03-11T00:00:00Z,http://www.wikidata.org/entity/Q4895010
Gregorio Monreal,politikari,gizonezkoa,Etaiu,http://commons.wikimedia.org/wiki/Special:FilePath/Entrega%20del%20Premio%20Euskadi%20de%20Investigaci%C3%B3n%202013%20al%20historiador%20y%20jurista%20Gregorio%20Monreal%2004%20%28cropped%29.jpg,1942-03-11T00:00:00Z,http://www.wikidata.org/entity/Q4895010
Gregorio Monreal,legelari,gizonezkoa,Etaiu,http://commons.wikimedia.org/wiki/Special:FilePath/Entrega%20del%20Premio%20Euskadi%20de%20Investigaci%C3%B3n%202013%20al%20historiador%20y%20jurista%20Gregorio%20Monreal%2004%20%28cropped%29.jpg,1942-03-11T00:00:00Z,http://www.wikidata.org/entity/Q4895010
Gregorio Monreal,unibertsitateko irakasle,gizonezkoa,Etaiu,http://commons.wikimedia.org/wiki/Special:FilePath/Entrega%20del%20Premio%20Euskadi%20de%20Investigaci%C3%B3n%202013%20al%20historiador%20y%20jurista%20Gregorio%20Monreal%2004%20%28cropped%29.jpg,1942-03-11T00:00:00Z,http://www.wikidata.org/entity/Q4895010
Pello Lizarralde,idazle,gizonezkoa,Zumarraga,http://commons.wikimedia.org/wiki/Special:FilePath/Pello%20lizarralde.jpg,1956-11-03T00:00:00Z,http://www.wikidata.org/entity/Q12265726
Pello Lizarralde,itzultzaile,gizonezkoa,Zumarraga,http://commons.wikimedia.org/wiki/Special:FilePath/Pello%20lizarralde.jpg,1956-11-03T00:00:00Z,http://www.wikidata.org/entity/Q12265726
Joseba Asiron,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Joseba%20Asir%C3%B3n%202015.jpg,1962-04-14T00:00:00Z,http://www.wikidata.org/entity/Q20087690
Ignacio Baleztena Azkarate,abokatu,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Baleztena.jpg,1887-04-02T00:00:00Z,http://www.wikidata.org/entity/Q9007772
Ignacio Baleztena Azkarate,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Baleztena.jpg,1887-04-02T00:00:00Z,http://www.wikidata.org/entity/Q9007772
Ignacio Baleztena Azkarate,historialari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Baleztena.jpg,1887-04-02T00:00:00Z,http://www.wikidata.org/entity/Q9007772
Ignacio Baleztena Azkarate,kantugile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Baleztena.jpg,1887-04-02T00:00:00Z,http://www.wikidata.org/entity/Q9007772
Joan Amenduze,poeta,gizonezkoa,Iruñea,,1540-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9016054
Joan Amenduze,saltzaile,gizonezkoa,Iruñea,,1540-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9016054
Alejandro Tapia Perurena,idazle,gizonezkoa,Iruñea,,1899-08-11T00:00:00Z,http://www.wikidata.org/entity/Q12253153
