itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Adur Ezenarro Agirre,politikari,gizonezkoa,Ordizia,,1977-01-01T00:00:00Z
Andres Urdaneta,idazle,gizonezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Urdaneta%20marinela%20txikia.jpg,1498-11-30T00:00:00Z
Andres Urdaneta,geografo,gizonezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Urdaneta%20marinela%20txikia.jpg,1498-11-30T00:00:00Z
Andres Urdaneta,esploratzaile,gizonezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Urdaneta%20marinela%20txikia.jpg,1498-11-30T00:00:00Z
Martin Muxika,gudari,gizonezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20de%20Mujica.jpg,1600-01-01T00:00:00Z
Francisco Mujika Garmendia,terrorista,gizonezkoa,Ordizia,,1953-11-19T00:00:00Z
Dolores Gonzalez Katarain,terrorista,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/2%20gaineko%201%2C%20multzo%20hirukoitza%20-%20Conjunci%C3%B3n%20ternaria%201%20sobre%202%20%28Jorge%20Oteiza%29.jpg,1954-05-14T00:00:00Z
Patxi Zubizarreta,idazle,gizonezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Patxi%20Zubizarreta.JPG,1964-01-25T00:00:00Z
Miren Etxezarreta,idazle,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Miren%20Etxezarreta%2C%20economist.JPG,1936-03-23T00:00:00Z
Miren Etxezarreta,ekonomialari,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Miren%20Etxezarreta%2C%20economist.JPG,1936-03-23T00:00:00Z
Miren Etxezarreta,unibertsitateko irakasle,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Miren%20Etxezarreta%2C%20economist.JPG,1936-03-23T00:00:00Z
Luis Marín,futbolari,gizonezkoa,Ordizia,,1906-09-04T00:00:00Z
Kepa Areso,futbol entrenatzaile,gizonezkoa,Ordizia,,1911-06-29T00:00:00Z
Kepa Areso,futbolari,gizonezkoa,Ordizia,,1911-06-29T00:00:00Z
Manuel José de Zavala,politikari,gizonezkoa,Ordizia,,1772-11-07T00:00:00Z
Manuel José de Zavala,Konde,gizonezkoa,Ordizia,,1772-11-07T00:00:00Z
Emma García,telebista aurkezle,emakumezkoa,Ordizia,,1973-06-08T00:00:00Z
Mikel Arana,politikari,gizonezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Arana%20reunido%20con%20el%20lehendakari%20Patxi%20L%C3%B3pez%20%2827%20de%20octubre%20de%202011%29.jpg,1973-10-02T00:00:00Z
Nikolas Lekuona,idazle,gizonezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20de%20lekuona-st-mncars.jpg,1913-12-19T00:00:00Z
Nikolas Lekuona,margolari,gizonezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20de%20lekuona-st-mncars.jpg,1913-12-19T00:00:00Z
Pedro Arteaga,epaile,gizonezkoa,Ordizia,,1537-01-01T00:00:00Z
Pedro Arteaga,funtzionario,gizonezkoa,Ordizia,,1537-01-01T00:00:00Z
Angel Katarain,soinu-ingeniari,gizonezkoa,Ordizia,,1961-01-01T00:00:00Z
Angel Katarain,disko-ekoizle,gizonezkoa,Ordizia,,1961-01-01T00:00:00Z
Angel Katarain,musikari,gizonezkoa,Ordizia,,1961-01-01T00:00:00Z
Aitor Furundarena,musikari,gizonezkoa,Ordizia,,1970-01-01T00:00:00Z
